ˈwaɪz.li	wisely
kæsˈkeɪd	cascade
bəʊst	boast
ˈpæt̬.ɚ	patter
əbˈdʒʊər	abjure
ˈklaɪ.mæks	climax
ˈlæŋ.ɡwɪd	languid
ˈbɪldɪŋ	building
meɪnˈteɪn	maintain
hʌntʃ	hunch
taɪl	tile
əˈsem.bli	assembly
əˈbet	abet
ˈɑːt.ləs	artless
ˈvɪdiəʊ	video
pɒʃ	posh
ˈblʌd.i	bloody
ˈleɪbər	labour
ˈkeəfl	careful
prəˈvaɪdɪŋ	providing
kwɪr	queer
ˈdeɪn.dʒər.əs.li	dangerously
ˌɪn.sɪɡˈnɪf.ɪ.kənt	insignificant
ˈæk.jʊ.rə.si	accuracy
ˈiː.pɒk	epoch
ˈkaʊntə(r)	counter
stɪk	stick
ɪnˈvɑːlvmənt	involvement
ɪnˈkɑː.nət	incarnate
wɜːrθ	worth
əˈkweɪn.təns	acquaintance
lenz	lens
fɑːnt	font
flæt	flat
ˈnɪəli	nearly
ˈsɜː.dʒən	surgeon
ˌoʊvərˈkʌm	overcome
ˈseɪlz.mən	salesman
ˈsʌbstɪtuːt	substitute
lɪd	lid
ˈfɔːwəd	forward
ˈɔː.ɡən.ɪ.zəm	organism
ˌɑːfˈʃɔːr	offshore
pɒd	pod
fiːld	field
sɔːrd	sword
hɪˈster.ɪ.kəl	hysterical
ˈpriː.fek.tʃər	prefecture
ˈɔːlsoʊ	also
ˈpɒlətɪks	politics
ˈfɔː.saɪt	foresight
ˈmɒrəl	moral
ɪnˈvaɪt	invite
ter	tear
depθ	depth
ˈɡrəʊsəri	grocery
ˈklʌb.haʊs	clubhouse
ˈɪr.ɪ.ɡeɪt	irrigate
ten	ten
ɪnˈʃɔːrəns	insurance
ˈkʌvərɪŋ	covering
ˈkæptʃər	capture
əˈpəʊnənt	opponent
əˈproʊpriət	appropriate
ʃɔːr	shore
bɪˈjɑːnd	beyond
ˈnɪm.bl̩	nimble
ˈræɡ.ɪd	ragged
ˈdʌm.plɪŋ	dumpling
ˈmenʃn	mention
ˈmɪr.ɪ.kl̩	miracle
koʊp	cope
ʃiːp	sheep
ˌmed.ɪˈkeɪ.ʃən	medication
kənˈsiːv	conceive
ˈkwɒr.ən.tiːn	quarantine
ˈsiːkrət	secret
ˌeɪˈmɒr.əl	amoral
ˈhɔː.məʊn	hormone
vɝːdʒ	verge
ˈpaɪ.pər	piper
ˌpɔːrtˈfoʊ.li.oʊ	portfolio
ˈdeɪ.driːm	Daydream,daydream
ˈhæpi	happy
ˈmuːvmənt	movement
ˈbɔːdə(r)	border
ˈvɪʃ.əs	vicious
muːt	moot
kɔːrs	course,coarse
ˈlaɪt.nɪŋ	lightning
stɔːk	stalk,stork
ˈfaɪər	fire
bɑːθ	bath
ˈsaɪəntɪst	scientist
baɪˈɒlədʒi	biology
ˈsɒlti	salty
ˌɒfˈhænd	offhand
ˈhɒt.laɪn	hotline
kəˈmjuːnəti	community
ˈpeɪntɪŋ	painting
ˈɪmɪdʒ	image
ˈnɔːməli	normally
ˈsɜːrneɪm	surname
ɑːtʃ	arch
rɪˈkʌr.ənt	recurrent
ˈreɡjələr	regular
ˈspɑː.klɪŋ	sparkling
kəmˈpɑːt.mənt	compartment
ˈevriwʌn	everyone
leɪk	lake
səˈdʒest	suggest
ˈdʒuː.vən.aɪl	juvenile
ɪnˈɡræt.ɪ.tjuːd	ingratitude
keɪk	cake
kwest	quest
ˈæd.və.sər.i	adversary
ˌɪn.kəmˈpæt.ɪ.bl̩	incompatible
ɪnˈves.tɪ.ɡeɪ.t̬ɚ	investigator
rɒb	rob
ˈdekəreɪt	decorate
ˈwaɪə.rɪŋ	wiring
ˈdes.tɪ.tjuːt	destitute
rɪˌtæl.iˈeɪ.ʃən	retaliate
ˈɑːr.tʃɚ.i	archery
ˈfɒɡ.i	foggy
ʃʌt	shut
ˈkɑːnʃəs	conscious
ˈfɑː.dɚ	fodder
rɪˈpruːf	reproof
jæŋk	yank
ˈhæs.l̩	hassle
ɪɡˈzempt	exempt
ˈbɔːl.rʊm	ballroom
dɪˈreɪnʤ	derange
ˈsiː.nər.i	scenery
ˌredʒ.ɪˈstreɪ.ʃən	registration
məˈtɜː.nə.ti	maternity
ˈɡeɪ.ə.ti	gaiety
dɪˈskrep.ən.si	discrepancy
sɪˈvɪə(r)	severe
ˈaɪ.sə.leɪt	isolate
ˈɒntə	onto
ˈkjuː.kʌm.bər	cucumber
prɒɡˈnəʊ.sɪs	prognosis
ɪˈnɔː.ɡjʊ.reɪt	inaugurate
ˈɡɒs.pəl	gospel
ɪnˈɡreɪv	engrave
ˈsevnti	seventy
ˌæn.tiˈsəʊ.ʃəl	antisocial
ˈærəʊ	arrow
ˈhɪn.dər	hinder
ˈsɪk.li	sickly
ɪnˈlaɪ.vən	enliven
ˌhjuː.mənˈkaɪnd	humankind
ˈtwenti	twenty
ˈlaɪv.stɒk	livestock
dɪsˈɡaɪz	disguise
ˈæf.ə.bl̩	affable
ˈkeɪ.tər.ɪŋ	catering
dɪˈvel.əpt	developed
krɑːk	crock
ˈpjuːpl	pupil
ˈtaɪərd	tired
ˈiː.ɡl̩	eagle
dɪˈfens.ləs	defenceless
ˈær.əb	Arab
ˈəʊ.və.dəʊs	overdose
ˌloʊ.kəˈmoʊ.t̬ɪv	locomotive
ˈer.i	airy
jɔː(r)	your
dɑːnt	daunt
kæʃ	cash
ˈɪə.rɪŋ	earring
ˈhɔːr.ə.skoʊp	horoscope
lʊr	lure
haʊl	howl
pɔɪnt	point
əˈfɪʃəli	officially
prəˈpəʊz	propose
ˌkɒmbɪˈneɪʃn	combination
ˌhæpˈhæz.əd	haphazard
ˌiː.vəˈluː.ʃən	evolution
ˈkrɪs.məs	Christmas
tʃek	check,cheque
ˈhoʊmwɜːrk	homework
web	web
stretʃ	stretch
ˈɔːl.tər	altar
ˈkɔːt.rʊm	courtroom
seɪ	say
pəʊl	poll,pole
əbˈsiːn	obscene
maɪnd	mind
rɪˈpeɪ	repay
ˈfaʊn.tɪn	fountain
ˈmet.ə.fɔːr	metaphor
prəˌnʌnsiˈeɪʃn	pronunciation
ˈtɔː.təs	tortoise
ˈhæɡ.əd	haggard
ˈbʊk.keɪs	bookcase
ˈaʊt.fɪt	outfit
ˈræðər	rather
ˈsteɪʃn	station
stɒk	stock
ˈsʌn.set	sunset
bʌz	buzz
traɪ	try
siːs	cease
ɪkˈsplɔː(r)	explore
ˈɪn.fəʊ	info
ˈdɪs.kəʊ	disco
əˈfrʌnt	affront
bɪˈkɒz	because
ˈfɜːnɪtʃə(r)	furniture
rɪˈfreɪn	refrain
ˌɪnfəˈmeɪʃn	information
læf	laugh
ˈtraɪəl	trial
ˈfiːtʃə(r)	feature
ˈpɜːpl	purple
dɪˈmen.tɪd	demented
ˈbrɔːd.ʃiːt	broadsheet
ˈɡɜːrlfrend	girlfriend
ɪˈlæps	elapse
ɪkˈspænd	expand
ˈdʌn.dʒən	dungeon
ˈdʒuːniər	junior
sɪk	sick
friːk	freak
ˈbædli	badly
ˌpɒləˈtɪʃn	politician
rɪˈteɪn	retain
ˈʌpwərd	upward
ˈmiː.ti.ɔːr	meteor
fə(r)	for
ˈpɑːs.tʃɚ	posture
əˈsɜːt	assert
rɪˈvjuː	review
ˈaʊt.wəd	outward
ɪnˈdʒek.ʃən	injection
ˈvʌl.ɡər	vulgar
ˈste.rɔɪd	steroid
reɪv	rave
ˈtʃɪəfl	cheerful
ˈfiːvər	fever
ˈpəʊ.stəl	postal
ˈkær.ə.weɪ	caraway
ˈɪrɪteɪt	irritate
ˈfɔː.trəs	fortress
flɒk	flock
ˈleɪ.tənt	latent
deə(r)	dare
ˌdɪsəˈpɪə(r)	disappear
ˈnɑː.sti	nasty
ɡrəʊθ	growth
ˈhʌm.bl̩	humble
ˈter.əs	terrace
dɪˈspjuːt	dispute
ˈfʊt.weər	footwear
fiːd	feed
ˈprɑː.vɝːb	proverb
ˈʌtərli	utterly
ˈsʌn.laɪt	sunlight
ˈdæʃ.ɪŋ	dashing
ˈeb.ən.i	ebony
ˌæd.resˈiː	addressee
ˈskɑː.lət	scarlet
ˈnesəseri	necessary
ˌnevərðəˈles	nevertheless
ˈkloʊðɪŋ	clothing
rɪˈpʌb.lɪk	republic
ˈsiː.mən	seaman
wedʒ	wedge
ˈerə(r)	error
fɔːˈstɔːl	forestall
ˈkɜːrɪdʒ	courage
ˈælkəhɔːl	alcohol
ˈliːdə(r)	leader
bɪˈhed	behead
krʊk	crook
kənˈsɪdər	consider
ˈsʌfərɪŋ	suffering
lɪŋk	link
ˈʌndəweə(r)	underwear
məˈnɪp.jʊ.leɪt	manipulate
moʊd	mode
dʒəʊk	joke
dɪˈsep.ʃən	deception
ˈmʌltɪplaɪ	multiply
ˈɪm.prə.vaɪz	improvise
ˌsuː.pəˈsiːd	supersede
əˈlɔːŋ	along
ræn	ran
ɪˈmɒd.ər.ət	immoderate
wɑːnd	wand
ˈpraʊ.es	prowess
jə	you
ˈsɪmələli	similarly
ˈwɪspər	whisper
ˈdɒkjumənt	document
pɔːk	pork
ɪnˈsɜːt	insert
pjʊə(r)	pure
ˈketʃ.ʌp	ketchup
ˈæd.ʌlt.hʊd	adulthood
ɡroʊ	grow
ˈpoʊ.kɚ	poker
ˈtʃeɪmbə(r)	chamber
ˈtɪk.l̩	tickle
dɪˈsend	descend
dɪˈmɒn.ɪk	demonic
ʌnˈkæn.i	uncanny
ˈemfəsaɪz	emphasize
ˈpaʊərfl	powerful
kənˈkʌʃ.ən	concussion
strɔːŋ	strong
əˈsɪstənt	assistant
ˈsekʃn	section
ˈpʌnɪʃmənt	punishment
ˌəʊvəˈkʌm	overcome
sɪˈɡɑːr	cigar
hɑːˈstɪl.ə.t̬i	hostility
ˈpleɪ.ɡraʊnd	playground
ˈɪʃuː	issue
ˈɑː.tʃər	archer
tæŋk	tank
freɪz	phrase
ˈkrɪs.təl	crystal
ˈkɜː.tə.si	courtesy
mend	mend
ˈprəʊ.tiːn	protein
ˈkæm.ə.maɪl	camomile
rɪˈkɔːl	recall
ˌmæl.njuːˈtrɪ.ʃən	malnutrition
dɪˈraɪd	deride
ɪˈmædʒ.ɪ.nə.bl̩	imaginable
rɪˈfaɪn	refine
ˌæm.bɪˈɡjuː.ɪ.ti	ambiguity
ˈfɔː.tʃən.ət.li	fortunately
fetʃ	fetch
ˈflɔːr.əl	floral
ɪˈlevn	eleven
djuːk	duke
ʃɪft	shift
rɪˈzɔːt	resort
stem	stem
sleɪt	slate
ˌed.ɪˈtɔː.ri.əl	editorial
ˈfɒd.ər	fodder
ˈloʊkeɪt	locate
ˈjuː.nɪ.kɔːn	unicorn
ˈdaɪ.əɡ.nəʊz	diagnose
les	less
nɪk	nick
ˈpɑːkɪt	pocket
ˈpeɪmənt	payment
ˈstɑː.tl̩	startle
ˈbændɪdʒ	bandage
tred	tread
sɪt	sit
ˈpæn.zi	pansy
proʊz	prose
faɪˈnænʃl	financial
ˈtaɪ.pɪst	typist
frɒk	frock
lɪsp	lisp
wɪl	will
ˈemfəsɪs	emphasis
bɪˈsaɪdz	besides
rɪˈper	repair
ɪnˈfɔːrm	inform
æbˈnɔː.məl	abnormal
ˈsuːpəvaɪzə(r)	supervisor
səˈluːt	salute
ˈjɒɡ.ət	yogurt
ˈloʊ.nɚ	loner
ˈbaɪə(r)	buyer
ˈhær.əʊ	harrow
ɪkˈstriːm	extreme
ˈɡæmbl	gamble
kəʊˈɜː.sɪv	coercive
ˈmɒrəli	morally
bɑːb	barb,bob
ˈspɒn.sər	sponsor
ɪˈfeɪs	efface
prəˈdɪdʒ.əs	prodigious
tɒp	top
ɪɡˈzæmpl	example
ˈɡʌvənmənt	government
ˈfiːmeɪl	female
smæk	smack
vaʊəl	vowel
wɪmp	wimp
fɪks	fix
pɚˈvɝːs	perverse
ˈbɜː.ɡlər.i	burglary
fræŋk	frank
əˈsuːm	assume
voʊt	vote
ˈɡɪf.tɪd	gifted
ˌriːˈlɪv	relive
daʊn	down
biːp	beep
nʌm	numb
ˈtʃæt̬.ɚ	chatter
ɪˈliː.tɪst	elitist
ˈprəʊ.lɒɡ	prologue
ˈɔːrɡən	organ
ɡəʊl	goal
ˈæm.ə.tər	amateur
ˈpoʊst.kɑːrd	postcard
əbˈses	obsess
əˈkʌr.əns	occurrence
raɪz	rise
səˈtɪfɪkət	certificate
fɪlθ	filth
ˈaɪs.bɜːɡ	iceberg
ˈəʊnli	only
bɑːrk	bark
ˈtrɒl.i	trolley
ˈfræn.tɪk	frantic
ɪkˈsperɪmənt	experiment
kəmˈpeə(r)	compare
ˈded.ɪ.keɪ.tɪd	dedicated
ˈæm.nɪ.sti	amnesty
frəm	from
ˈɒnɪst	honest
ˈsiːniər	senior
rɪˈɡeɪn	regain
ɪnˈvɪn.sɪ.bl̩	invincible
ˈsɪstə(r)	sister
səˈpɔːtə(r)	supporter
kloʊv	clove
nɑːˈkɒt.ɪk	narcotic
ˈɪn.fə.məs	infamous
ˈfaɪr.bɑːl	fireball
ˈhəʊ.stes	hostess
kwɪər	queer
rɪˈkruːt	recruit
paʊtʃ	pouch
ɪnˈvestmənt	investment
ˈswetər	sweater
ˈher.əld	herald
pækt	pact
flɪk	flick
əˈsaɪ.ləm	asylum
hæɡ	hag
ˈtraɪ.fl̩	trifle
ˈveri	very,vary
rɪˈlaɪ.əns	reliance
ˈsɑː.kɚ	soccer
ˈsʌmwɒt	somewhat
ˈɡræt̬.ə.tuːd	gratitude
prɪˈsɪʒ.ən	precision
ˈɑːn.ti	auntie
ɡɑːl	gall
strænd	strand
kɑːd	card,cod
ˈlʌm.pi	lumpy
ˈkæn.dɪd	candid
help	help
rʌʃ	rush
ˈkɑːntrækt	contract
skaɪ	sky
ˈɔːdiəns	audience
ˌʌnˈfeə(r)	unfair
ˈmædʒ.ɪ.kəl	magical
ˌdʒæpəˈniːz	Japanese
əˈpɑːn	upon
ˈklɪr.ɪŋ	clearing
hen	hen
ˈdʒen.dər	gender
ˈfɪə.səm	fearsome
jərz	yours
ˈsætədeɪ	Saturday
kraʊd	crowd
ˈkʌs.tə.di	custody
lɪt	lit
ˈtraɪæŋɡl	triangle
ˈkæn.vəs	canvas,canvass
wɪʃ	wish
ˈdæn.di	dandy
əˈbɪs	abyss
ˈfiː.təs	foetus
treɪt	trait
ɪnˈvaɪrənmənt	environment
ˌæp.əˈreɪ.təs	apparatus
dʒɝːm	germ
ɑːrˈselvz	ourselves
ˈneɪvi	navy
hæz	has
ˈmɑːn.stɚ	monster
pɪər	peer,pier
ˈvæŋ.kwɪʃ	vanquish
spæn	span
ˌprem.əˈnɪʃ.ən	premonition
ˈaɪ.saɪt	eyesight
ˌprɒs.ɪˈkjuː.ʃən	prosecution
ˈhjuːmərəs	humorous
klæd	clad
kriːd	creed
dræɡ	drag
ɪnˈvent	invent
ˈʃɑːrpli	sharply
ˈhæb.ɪ.tæt	habitat
ɡroʊp	grope
ˈlɒdʒɪkl	logical
bluːm	bloom
əˈpɔɪnt	appoint
prəʊn	prone
pɔːrtʃ	porch
ˈfɒr.ə.nər	foreigner
ˌæb.nɪˈɡeɪ.ʃən	abnegate
ænˈtæɡ.ə.naɪz	antagonize
preə(r)	prayer
ˈnʌmbər	number
ˈpraɪmərəli	primarily
haɪk	hike
ˈɪnə(r)	inner
ˈfjuː.ʒən	fusion
ˈdɪs.ən.tər.i	dysentery
ˈɔːlsəʊ	also
ˈsɒlɪd	solid
ˈklevər	clever
səˈkjʊr	secure
ˈhev.ən.li	heavenly
ˌɪnfərˈmeɪʃn	information
əˈnʌlmənt	annulment
daɪˈæm.ɪ.tər	diameter
ˈmed.əʊ	meadow
ˈsʌŋˌɡlɑː.sɪz	sunglasses
dɪkˈteɪ.tər	dictator
spɜːr	spur
əʊn	own
ˈθɪm.bl̩	thimble
ˈpæl.pə.bl̩	palpable
prəˈdʒek.ʃən	projection
ˈpent.haʊs	penthouse
ˌdaɪ.əɡˈnəʊ.sɪs	diagnosis
ˈsteɪ.di.əm	stadium
ˌmɪs.ʌn.dəˈstænd	misunderstand
rentʃ	wrench
ˈdʒʌm.pi	jumpy
ˈwaɪr.ɪŋ	wiring
ˈfleɪvər	flavour
ˈliːtə(r)	litre
ˈfebrueri	February
ˈbaɪ.ɒp.si	biopsy
tɪndʒ	tinge
əˈstaʊnd	astound
drɪŋk	drink
ˈæbsəluːt	absolute
ˌhəʊ.məˈsek.sju.əl	homosexual
ˌɒp.ərˈeɪ.ʃən.əl	operational
ˈtoʊtəli	totally
treɪn	train
ˈsek.ənd.li	secondly
ˈelbəʊ	elbow
ˈeə.laɪn	airline
ˌdɒk.jʊˈmen.tər.i	documentary
ˈpæs.tʃɚ	pasture
ˈwɔːl.nʌt	walnut
ˈɔːfɪsər	officer
saɪð	scythe
fɔːrˈsiː	foresee
ˈtrɑː.li	trolley
ˈræk.ɪt	racket
ˈmæɡ.ət	maggot
ɡoʊl	goal
prəˈdʌkʃn	production
ˈpɪl.ɡrɪm	pilgrim
ˈkʌmfərt	comfort
dɪˈzaɪə(r)	desire
rɪr	rear
ˈreɪlweɪ	railway
ˈkɑːrpɪt	carpet
ˈhɑːdli	hardly
ˈseɪ.ɪŋ	saying
ˈlaɪv.li.hʊd	livelihood
ˈrek.wɪ.zɪt	requisite
breɪd	braid
hɑːrt	heart
ˈlɪk.wɪ.deɪt	liquidate
ɪˈvent.fəl	eventful
ˈwʌriɪŋ	worrying
ˈkɒtɪdʒ	cottage
ˌrezərˈveɪʃn	reservation
ˈwel.feər	welfare
ˈhɑː.tɪ.li	heartily
ˈsʌmə(r)	summer
bʌf	buff
ˈɡɜː.li	girlie
rɪˈliːf	relief
ɪkˈspɪriəns	experience
kəmˈpliː.ʃən	completion
ˈpep.ə.mɪnt	peppermint
ˌɒpəˈtjuːnəti	opportunity
ˈplʊr.əl	plural
ˈblɪz.əd	blizzard
bɪld	build
ˈlɪl.i	lily
prəˈbeɪ.ʃən	probation
ˈaɪ.sə.leɪ.tɪd	isolated
kəmˈpærɪsn	comparison
ˈlɪt.ər.ə.si	literacy
pər	per
ˈdaɪəmənd	diamond
ɪnˈfæl.ɪ.bl̩	infallible
ˈæv.ɪd	avid
ˈpɪl.əʊ.keɪs	pillowcase
tɪl	till
aɪˈdɪə	idea
ˈsiː.kwəns	sequence
praɪd	pride
kəd	could
ˈmeɪ.dən	maiden
ˈræp.tʃər	rapture
ɡɑːd	God,guard
ɪkˈsplɔɪt	exploit
kənˈdɪʃ.ən.ər	conditioner
ˈfɪɡjər	figure
ˈɑːbdʒekt	object
səˈpraɪzɪŋ	surprising
əˈmæs	amass
kəmˈpres	compress
ˈmjuː.tɪ.leɪt	mutilate
hænd	hand
ˈpeɪ.trən	patron
ˈfɪŋ.ɡə.neɪl	fingernail
ˈkɒn.dɪ.mənt	condiment
əˈbændən	abandon
hɪp	hip
ˈpen.əl.ti	penalty
prɪˈdɪk.ə.mənt	predicament
kənˈteɪnə(r)	container
ˌhɒs.pɪˈtæl.ə.ti	hospitality
ˈmʌf.l̩	muffle
pɑːrˈkeɪ	parquet
ɪnˈʃʊərəns	insurance
rɪˈpel.ənt	repellent
ˈaɪ.rə.ni	irony
koʊv	cove
ˈləʊ.kəs	locus
ˌʌndərˈstændɪŋ	understanding
ˈdʒiː.ni.əs	genius
əˈnaʊns.mənt	announcement
ˈlɔː.suːt	lawsuit
blaʊz	blouse
ˈtɒl.ər.eɪt	tolerate
ˈdɪs.pjuːt	dispute
ʌnˈɑːmd	unarmed
kʌt	cut
ˈvɪɡ.ər.əs	vigorous
ˌæp.əˈθet.ɪk	apathetic
ɑːrz	ours
ˈɡʊr.meɪ	gourmet
ˈæb.stɪ.nəns	abstinence
ˌed.jʊˈkeɪ.ʃən.əl	educational
ˈwɜːk.ʃɒp	workshop
sælˈveɪ.ʃən	salvation
stʌn	stun
hɒɡ	hog
ˌæplɪˈkeɪʃn	application
noʊˈvembər	November
ˈɡʌvn	govern
dəʊˈneɪt	donate
broʊtʃ	brooch
plɔɪ	ploy
prɪˌsɪp.ɪˈteɪ.ʃən	precipitation
naɪs	nice
ˈrek.əm.pens	recompense
dɑːdʒ	dodge
ˈfæb.rɪk	fabric
ˌælkəˈhɒlɪk	alcoholic
wuːm	womb
ˈfɪŋ.ɡə.prɪnt	fingerprint
ˈnəʊ.tər.i	notary
skoʊp	scope
straɪk	strike
ˈhɒlədi	holiday
ˈel.ɪ.fənt	elephant
ˈkɒnstənt	constant
ˌɪn.stəˈleɪ.ʃən	installation
ˈɪntəvl	interval
ˈhæŋ.ɪŋ	hanging
lɪst	list
ˈfʌr.əʊ	furrow
kəmˈpel.ɪŋ	compelling
həˈbɪtʃ.u.əl	habitual
ˈkæpɪtl	capital
rɪˈmaɪn.dər	reminder
rɪˈvɜːrs	reverse
sɔː	saw
ˈbʊl.ə.tɪn	bulletin
ˈlɪk.ɪŋ	licking
ˈɔbʤɪktlɪs	objectless
prɪˈzuːməbli	presumably
ˈmen.juː	menu
ˈɡləʊbl	global
stɑːntʃ	staunch
ˈhɑː.dən	harden
ˈbɜːrθdeɪ	birthday
hɔːrn	horn
rɪˈlaɪ	rely
steə(r)	stare,stair
ˈslʌm.i	slum
vɜːs	verse
ˈduːs	introduce
ˈspiː.dɪŋ	speeding
əˈmeɪzɪŋli	amazingly
ˈpɒn.dər	ponder
rɪˈpʌb.lɪ.kən	republican
bræntʃ	branch
ˈfeɪ.lɪŋ	failing
ˈɔː.tə.mə.biːl	automobile
lɔɪn	loin
ðer	there,their
ˈkɒl.əm.nɪst	columnist
buːˈtiːk	boutique
ˌsɪmpəˈθetɪk	sympathetic
ˈpeɪ.ɒf	payoff
ˈmæn.də.tər.i	mandatory
dɪˈmiː.nər	demeanour
ˈsteɪbl	stable
fərˈevər	forever
ˈkɒləm	column
tjuːb	tube
ˈkrɒs.rəʊd	crossroad
ˈven.juː	venue
prɪˈtens	pretence
rɪˈprəʊtʃ	reproach
ˈwɔːtə(r)	water
ɡɑːlf	golf
ɪnˈsen.sɪ.tɪv	insensitive
baɪl	bile
kæmˈpeɪn	campaign
ˈkæptʃə(r)	capture
ˈrɒk.i	rocky
ɡlʌv	glove
dʒʌɡ	jug
swɔːrm	swarm
ˈliː.ni.ənt	lenient
ˈklevə(r)	clever
hɜːb	herb
ˈretʃ.ɪd	wretched
ˈæb.dɪ.keɪt	abdicate
wɑːnt	want
ˈpaɪlət	pilot
ˈerkræft	aircraft
sɪˈvɪə.li	severely
ˈlev.ɪ.ti	levity
ˈjuːʒuəl	usual
saʊθ	south
ˈseɪvɪŋ	saving
ˈdʒɜːnəlɪst	journalist
ˈɪlnəs	illness
ˈeθ.nɪk	ethnic
ˌæl.jəˈmɪn.i.əm	aluminium
ɡæp	gap
ˈkɑː.fɪn	coffin
rɪb	rib
ˈræn.səm	ransom
æks	axe
ˈstʌf.ɪŋ	stuffing
rɪˈpʌls	repulse
ˈfəʊldɪŋ	folding
stɑːf	staff
ˈhɑːbi	hobby
ˌɪr.ɪˈzɪs.tə.bl̩	irresistible
ˈhəʊ.mi	homey
əˈnaɪ.ə.leɪt	annihilate
ˈɜːrbən	urban
ˈsmʌð.ər	smother
ˌʌn.bɪˈliː.və.bli	unbelievably
ɡɪv	give
ˈkɒm.bæt	combat
ɪkˈstent	extent
ˈbluː.ɪʃ	bluish
hɑːf	half
ˈriːznəbli	reasonably
kɔɪ	coy
ˈhaɪweɪ	highway
ˈpær.ət	parrot
dɪˈtɪə.ri.ə.reɪt	deteriorate
pluːm	plume
ˌɒbzəˈveɪʃn	observation
pɑːrk	park
ˈkredɪt	credit
treɪs	trace
ˌkɒm.plɪˈmen.tər.i	complimentary
səˈbɔː.dɪ.nət	subordinate
aɪˈtɪn.ər.ər.i	itinerary
ˈfɑːloʊ	follow
ˈkjʊriəs	curious
ˈsɪə.ri.əl	cereal,serial
ˈkɑːnsept	concept
ˈvɜː.bəl	verbal
kənˈsiː.tɪd	conceited
ˈfɪŋɡə(r)	finger
ˈdiː.sənt	decent
taʊəl	towel
ˈʃɑːpli	sharply
sɪnˈsɪr	sincere
kənˈsjuːm	consume
klæm	clam
presˈtɪdʒ.əs	prestigious
hʌnt	hunt
ˌɒm.nɪˈprez.ənt	omnipresent
ruːm	room
steɪdʒ	stage
kəʊˈɪn.sɪ.dəns	coincidence
ˈslʌm.bər	slumber
nuː	new,knew
ˈstrɒŋ.li	strongly
kwæk	quack
ˈblæk.aʊt	blackout
kræk	crack
ˈren.dər	render
ˈmɑːtɪn	marten
ˈɒt.ər	otter
ˈmʌðə(r)	mother
ʃoʊˈfɝː	chauffeur
ˈven.dɪŋ	vending
səˈplɑːnt	supplant
ˈsuː.pə.mæn	superman
ˈbʌtn	button
ˈsprɪŋ.kl̩	sprinkle
dəʊs	dose
bʌn	bun
ˈnɑː.t̬i	naughty
ˈfaɪ.nɪst	finest
tekˈniːk	technique
ˈædvətaɪz	advertise
ˌsuː.pəˈstɪʃ.əs	superstitious
ɪnˈsɒm.ni.ə	insomnia
dɪˈsɔː.ɡə.naɪzd	disorganized
ˈprəʊses	process
ˌɪn.dɪˈspjuː.tə.bl̩	indisputable
twɜːl	twirl
ˈbɑːdi	body
rɪˈvendʒ	revenge
ˈsɒs.ɪdʒ	sausage
eɪm	aim
ˈstuːpɪd	stupid
ˈempaɪər	empire
koʊˈɑː.pə.reɪt	cooperate
ˈelboʊ	elbow
ˌkɒn.trəˈdɪkt	contradict
twaɪn	twine
ˈsɜːrkl	circle
tɑːsk	task
əbˈseʃ.ən	obsession
ˈkɜː.sɪd	cursed
ˈmaɪ.zər	miser
ˈɪɡ.nər.əns	ignorance
ˌkɒn.trəˈvɜː.ʃəl	controversial
dʒɪr	jeer
ˈlaɪsns	license,licence
hel	hell
ˈiːzəli	easily
siːl	seal
dʒəˈner.ɪk	generic
dʒiˈɒɡrəfi	geography
ˌek.spləˈreɪ.ʃən	exploration
ˈslaɪ.mi	slimy
ˈevri	every
frɪndʒ	fringe
ˈhænd.fʊl	handful
ˌsɜː.kəmˈstæn.ʃəl	circumstantial
θwɔːt	thwart
ɪntʃ	inch
məʊˈtel	motel
ˈtem.pər	temper
rɪˈtaɪərmənt	retirement
veɪs	vase
ˈæp.ɪ.taɪ.zɪŋ	appetizing
ˈpep.ər.i	peppery
ˈwʌri	worry
ˈdrɑːmə	drama
kleɪ	clay
ˈnek.ləs	necklace
dʒiːp	jeep
ˌbaɪˈlæt.ər.əl	bilateral
pəˈsep.tɪv	perceptive
ˈmæn.ɪ.fest	manifest
pɪk	pick
ˈoʊpənli	openly
ˈkruːəl	cruel
ˈɔː.bɪt	orbit
ˈstræn.dɪd	stranded
kruː	crew
dʌl	dull
bəˈluːn	balloon
kriˈeɪt	create
dɪˈplɔː.rə.bl̩	deplorable
strɪp	strip
fɔːt	fought,fort
tʃuː	chew
ˈaɪ.braʊ	eyebrow
ˌʌn.prɪˈdɪk.tə.bl̩	unpredictable
ˌen.iˈmɔːr	anymore
əˈproʊtʃ	approach
ɪnˈtent	intent
ˈpɒl.ɪ.ɡrɑːf	polygraph
ɡʌlp	gulp
pəˈmɪs.ɪv	permissive
dɪˈlɪvəri	delivery
ˈjoʊ.ɡɚt	yogurt
ˈprɪzn	prison
eɪdʒ	age
bæθ	bath
ˈkʌrɪdʒ	courage
ˈkɒn.stɪ.tjuːt	constitute
staʊt	stout
kləʊð	clothe
ˌhɒrɪˈzɒntl	horizontal
swɒt	swat
ˌælkəˈhɔːlɪk	alcoholic
rəʊˈbʌst	robust
ˈkʊʃ.ən	cushion
ˈbaɪər	buyer
kəmˈpleks	complex
kənˈten.tɪd	contented
əˈrɪəz	arrears
kəˈrɑː.ti	karate
ˌprɒv.əˈkeɪ.ʃən	provocation
